City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yumbe,3.4651,31.2469,17.53,94,100,0.5,UG,1694290069
83,taoudenni,22.6783,-3.9836,40.21,16,11,0.15,ML,1694290070
84,inhambane,-23.865,35.3833,19.94,83,0,4.43,MZ,1694290070
85,tura,25.5198,90.2201,23.62,96,82,0.99,IN,1694290070
86,morden,49.1919,-98.1014,22.91,29,54,4.55,CA,1694290070
87,tila,17.4,-92.4833,26.68,89,47,1.3,MX,1694290071
88,saint-francois,46.4154,3.9054,24.69,50,0,2.06,FR,1694289999
89,albany,42.6001,-73.9662,27.52,70,100,1.09,US,1694289930
90,susuman,62.7833,148.1667,2.67,100,100,1.47,RU,1694290071
91,lebu,-37.6167,-73.65,12.91,82,81,2.31,CL,1694290071
92,jamestown,42.097,-79.2353,20.01,94,100,0.0,US,1694290072
93,ruidoso,33.3317,-105.673,28.48,30,0,6.69,US,1694290072
94,marka,1.7159,44.7717,24.44,87,73,7.48,SO,1694290072
95,stanley,54.868,-1.6985,21.55,86,20,2.06,GB,1694289860
96,sampit,-2.5333,112.95,22.98,90,84,1.06,ID,1694290073
97,bodaybo,57.8506,114.1933,5.95,95,100,1.42,RU,1694290073
98,kingston,17.997,-76.7936,33.53,62,20,10.29,JM,1694289957
99,st. john's,47.5649,-52.7093,19.04,89,67,1.34,CA,1694290073
100,marsh harbour,26.5412,-77.0636,29.41,67,14,4.65,BS,1694290073
101,turpan,42.9333,89.1667,28.62,21,12,3.32,CN,1694290074
102,ilulissat,69.2167,-51.1,3.01,81,75,3.09,GL,1694290074
103,dogondoutchi,13.6393,4.0287,32.09,51,7,5.39,NE,1694290074
104,newman,37.3138,-121.0208,31.7,17,27,0.8,US,1694290074
105,broken hill,-31.95,141.4333,7.55,59,2,3.3,AU,1694290075
106,idri,27.5,13.2667,28.15,27,0,4.03,LY,1694290075
107,utrik,11.2278,169.8474,28.7,75,99,6.41,MH,1694290075
108,sarangani,5.4033,125.4636,28.08,76,98,2.99,PH,1694290075
109,berezovyy,51.6667,135.7,7.19,53,56,2.34,RU,1694290076
110,ribeira grande,38.5167,-28.7,22.22,73,75,2.24,PT,1694290076
111,crane,31.3974,-102.3501,37.78,16,5,5.24,US,1694290076
112,weno,7.4515,151.8468,28.66,73,38,5.24,FM,1694290076
113,santarem,-2.4431,-54.7083,33.07,62,20,5.14,BR,1694290077
114,knysna,-34.0363,23.0471,14.34,92,0,1.87,ZA,1694290077
115,chul'man,56.8479,124.9104,2.39,98,100,2.37,RU,1694290077
116,lorengau,-2.0226,147.2712,27.01,80,48,3.56,PG,1694290077
117,vorgashor,67.5833,63.95,7.17,92,54,3.57,RU,1694290078
118,ban dung,17.699,103.2596,26.68,100,100,2.72,TH,1694290078
119,banaz,38.7371,29.7519,19.57,66,90,2.74,TR,1694290078
120,rokupr,8.6717,-12.395,23.75,97,100,2.04,SL,1694290078
121,tindouf,27.6711,-8.1474,34.04,23,100,4.04,DZ,1694290079
122,avrig,45.7167,24.3833,15.36,57,7,1.42,RO,1694290079
123,ghat,24.9647,10.1728,31.65,19,0,5.35,LY,1694290079
124,arraial do cabo,-22.9661,-42.0278,27.98,65,0,7.72,BR,1694289844
125,antofagasta,-23.65,-70.4,20.61,63,8,3.73,CL,1694290079
126,saudarkrokur,65.7461,-19.6394,4.84,93,100,4.39,IS,1694290080
127,novyy urgal,51.0736,132.5642,3.52,72,20,1.0,RU,1694290080
128,enriquillo,17.9,-71.2333,31.82,63,20,4.74,DO,1694290080
129,hamilton,39.1834,-84.5333,26.25,68,100,5.14,US,1694290080
130,hawaiian paradise park,19.5933,-154.9731,27.73,68,100,3.09,US,1694290081
131,aykhal,66.0,111.5,-1.47,77,100,2.32,RU,1694290081
132,sirur,18.8333,74.3833,23.17,91,100,6.68,IN,1694290081
133,whitecourt,54.1502,-115.6855,19.9,47,3,2.51,CA,1694290005
134,bikenibeu village,1.3673,173.1241,26.98,89,75,0.51,KI,1694290081
135,napier,-39.4833,176.9167,8.43,86,4,1.16,NZ,1694289896
136,noumea,-22.2763,166.4572,21.67,99,0,4.15,NC,1694289920
137,afaahiti,-17.75,-149.2833,26.93,84,23,7.51,PF,1694290082
138,la ronge,55.1001,-105.2842,17.12,51,20,5.14,CA,1694289797
139,taroa,8.7058,171.2275,28.11,77,88,4.3,MH,1694290083
140,ekero,0.3253,34.5044,19.02,82,77,2.24,KE,1694290083
141,isafjordur,66.0755,-23.124,4.94,70,96,3.51,IS,1694290084
142,port alfred,-33.5906,26.891,20.92,63,3,2.29,ZA,1694290084
143,tanumah,27.1,44.1333,33.18,13,1,2.98,SA,1694290084
144,carnarvon,-24.8667,113.6333,17.9,84,0,4.52,AU,1694290065
145,khandyga,62.6667,135.6,1.77,99,100,1.19,RU,1694290084
146,gizo,-8.103,156.8419,26.62,81,100,9.5,SB,1694290085
147,ust-nera,64.5667,143.2,1.81,97,100,2.48,RU,1694290085
148,vila velha,-20.3297,-40.2925,24.41,83,20,8.23,BR,1694290086
149,dipalpur,30.6709,73.6529,29.57,51,0,3.18,PK,1694290086
150,marysville,48.0518,-122.1771,27.42,57,0,3.09,US,1694289959
151,rajpura,30.4831,76.595,23.24,90,1,2.49,IN,1694290087
152,tazacorte,28.629,-17.9293,25.54,89,40,3.09,ES,1694290087
153,flying fish cove,-10.4217,105.6791,22.82,88,75,3.6,CX,1694290087
154,lihue,21.9789,-159.3672,28.58,71,20,6.17,US,1694290088
155,carutapera,-1.195,-46.02,29.25,67,24,4.19,BR,1694290088
156,bahia de kino,28.8333,-111.9333,42.18,43,12,4.86,MX,1694290088
157,revelstoke,50.9832,-118.2023,27.32,29,9,0.9,CA,1694290089
158,rio pardo de minas,-15.6097,-42.5397,27.4,32,3,3.03,BR,1694290089
159,selfoss,63.9331,-20.9971,9.47,76,100,2.74,IS,1694290089
160,murmansk,68.0,34.0,13.12,91,86,2.73,RU,1694290090
161,codrington,-38.2667,141.9667,9.51,86,69,3.61,AU,1694290090
